NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Brunno Ferreira,Record: 15-2-0,The Hulk,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992",3.85,50%,3.99,51%,1.29,23%,61%,0.8
Scott Ferrozzo,Record: 4-2-0,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Timo Feucht,Record: 8-1-0,,"6' 3""",205 lbs.,"79""",Orthodox,"Jan 18, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andre Fialho,Record: 16-8-0 (1 NC),,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994",3.30,41%,6.26,45%,0.25,100%,66%,0.0
Drew Fickett,Record: 42-21-0,The Master,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.30,35%,30%,2.2
Scott Fiedler,Record: 0-1-0,,"6' 4""",235 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ron Fields,Record: 28-32-1,Killing,"6' 2""",200 lbs.,--,Orthodox,"Nov 18, 1974",0.33,33%,2.64,11%,0.00,0%,0%,0.0
Michal Figlak,Record: 8-2-0,Mad Dog,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",4.00,39%,4.93,52%,0.50,12%,57%,0.0
Deiveson Figueiredo,Record: 25-6-1,Deus da Guerra,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",2.63,53%,3.47,49%,1.61,35%,57%,1.2
Francisco Figueiredo,Record: 13-5-1 (1 NC),Sniper,"5' 6""",125 lbs.,"68""",Southpaw,"Oct 23, 1989",2.04,61%,2.59,61%,2.51,75%,76%,0.4
Anthony Figueroa,Record: 11-8-1,,"5' 4""",135 lbs.,--,Orthodox,--,2.37,48%,3.77,49%,0.00,0%,58%,0.0
Edwin Figueroa,Record: 9-5-0,El Feroz,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.20,100%,37%,0.6
Jonathan Figueroa,Record: 16-1-0,El Picante,--,185 lbs.,--,,"Feb 05, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Paulo Filho,Record: 23-6-3,,"5' 8""",185 lbs.,--,Southpaw,"May 24, 1978",1.86,48%,1.67,66%,2.40,32%,42%,1.6
Jafel Filho,Record: 17-4-0,Pastor,"5' 7""",125 lbs.,"68""",Orthodox,"May 05, 1993",1.85,41%,1.62,50%,2.52,45%,66%,2.2
Andre Fili,Record: 25-12-0 (1 NC),Touchy,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.87,37%,4.23,51%,2.22,45%,71%,0.2
Mirko Filipovic,Record: 35-11-2 (1 NC),Cro Cop,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3
Brady Fink,Record: 2-3-0,,"6' 0""",183 lbs.,--,Orthodox,"May 23, 1981",1.69,41%,1.69,61%,3.63,25%,0%,3.6
Jesse Finney,Record: 5-1-0,,"6' 0""",170 lbs.,--,,"Jul 11, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jan Finney,Record: 11-12-0,Cuddles,"5' 8""",135 lbs.,--,Orthodox,"Apr 18, 1980",2.16,28%,8.75,42%,0.77,11%,25%,0.0
Torrez Finney,Record: 11-1-0,The Punisher,"5' 8""",185 lbs.,"75""",Orthodox,"Oct 24, 1998",1.78,54%,3.34,40%,6.86,59%,75%,0.8
Luigi Fioravanti,Record: 26-15-0,,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9
Nick Fiore,Record: 6-2-0,,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 10, 1997",2.83,46%,7.93,42%,2.50,45%,71%,0.0
Manon Fiorot,Record: 13-2-0,The Beast,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",5.66,42%,3.58,66%,1.05,29%,87%,0.0
Luiz Firmino,Record: 19-8-0,Buscape,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9
Spencer Fisher,Record: 24-9-0,The King,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8
Chris Fishgold,Record: 18-4-1,,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.70,46%,2.59,46%,44%,1.3
Bryanna Fissori,Record: 2-4-0,,"5' 4""",145 lbs.,--,,--,1.40,46%,1.20,57%,2.00,25%,50%,0.0
Jon Fitch,Record: 30-7-1 (1 NC),,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.60,51%,56%,0.8
Isi Fitikefu,Record: 6-0-0,Doxz,"5' 10""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael Fiziev,Record: 13-5-0,Ataman,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.71,52%,4.84,49%,0.83,66%,90%,0.0
Colin Fletcher,Record: 14-8-0,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,"Jan 08, 1983",3.10,34%,2.97,62%,0.00,0%,27%,0.0
AJ Fletcher,Record: 10-3-0,The Ghost,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",3.36,49%,4.61,46%,1.54,35%,33%,0.9
Nathan Fletcher,Record: 9-3-0,,"5' 7""",135 lbs.,"70""",Orthodox,"Jan 03, 1998",3.41,59%,2.16,57%,3.37,38%,50%,0.7
Jimmy Flick,Record: 17-9-0,The Brick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.67,50%,4.70,43%,2.36,33%,0%,3.5
Luke Flores,Record: 9-2-0,,"6' 0""",155 lbs.,"73""",Southpaw,"Mar 17, 1988",1.56,44%,1.88,60%,0.00,0%,40%,1.2
Ty Flores,Record: 7-3-0,Big Medicine,"6' 3""",205 lbs.,"73""",Switch,"Dec 22, 1993",2.00,37%,7.80,25%,1.00,9%,0%,0.0
Alejandro Flores,Record: 17-3-0,El Gallito,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",3.66,40%,2.02,54%,0.00,0%,0%,0.0
Kenny Florian,Record: 14-6-0,KenFlo,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3
Darrius Flowers,Record: 12-8-1,Beast Mode,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1994",3.07,49%,5.49,44%,0.98,28%,63%,0.0
Cody Floyd,Record: 2-0-0,,--,--,--,,"Jul 18, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bobby Flynn,Record: 6-4-0,,--,170 lbs.,--,,--,0.38,25%,0.77,0%,0.00,0%,0%,0.0
Caros Fodor,Record: 11-6-0,The Future,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.10,25%,50%,0.0
Mal Foki,Record: 5-5-0,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,"Mar 16, 1976",2.86,14%,14.29,54%,0.00,0%,0%,0.0
Matt Foki,Record: 5-4-0 (1 NC),Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,"Mar 16, 1976",0.00,0%,3.37,56%,0.00,0%,0%,0.0
AJ Fonseca,Record: 5-4-0,,"5' 4""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rob Font,Record: 22-9-0,,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.36,45%,3.70,57%,0.74,30%,43%,0.3
Claudionor Fontinelle,Record: 10-15-1,,"5' 5""",185 lbs.,--,Orthodox,--,2.62,42%,10.25,28%,0.00,0%,0%,0.0
Jesse Forbes,Record: 15-5-0,Kid Hercules,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
Sterling Ford,Record: 15-7-0,,"5' 10""",155 lbs.,--,,"Mar 12, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Codale Ford,Record: 11-9-0,Crunch Time,"5' 9""",170 lbs.,--,,"May 13, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Raheam Forest,Record: 7-2-0,Rambo,"5' 11""",170 lbs.,"73""",Switch,"Jul 11, 1997",5.32,38%,12.15,42%,0.00,0%,0%,0.0
Jussier Formiga,Record: 23-8-0,,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6
Carol Foro,Record: 9-1-0,Anabelle,"5' 2""",115 lbs.,"61""",Orthodox,"Mar 21, 1997",7.80,55%,7.67,58%,0.00,0%,100%,0.0
Renee Forte,Record: 8-4-0,,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0
Brianna Fortino,Record: 9-3-0,The Bull,"5' 0""",115 lbs.,"62""",Southpaw,"Aug 04, 1993",3.53,41%,3.23,57%,2.50,45%,66%,0.0
Marcel Fortuna,Record: 9-3-0,,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5
Brian Foster,Record: 27-10-0,The Foster Boy,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.30,39%,1.63,65%,3.67,60%,37%,1.8
Xavier Foupa-Pokam,Record: 32-22-0,Professor X,"6' 1""",185 lbs.,--,Open Stance,"Jul 03, 1982",1.47,43%,2.50,49%,0.00,0%,16%,0.0
Mason Fowler,Record: 2-0-0,,"5' 11""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon Foxworth,Record: 18-4-0,,"5' 11""",145 lbs.,--,Orthodox,"Apr 28, 1979",1.33,32%,4.59,50%,0.00,0%,0%,0.0
Hermes Franca,Record: 24-17-0 (1 NC),,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
Glaico Franca Moreira,Record: 15-5-0,Nego,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3
Francisco France,Record: 13-5-1,Kiko,"6' 0""",205 lbs.,--,,"Jan 21, 1983",0.54,33%,3.51,27%,0.00,0%,0%,6.1
John Franchi,Record: 6-2-0,,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3
Felipe Franco,Record: 8-1-0,Negao,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 2001",2.23,71%,2.84,35%,6.08,40%,100%,0.0
Rich Franklin,Record: 29-7-0 (1 NC),Ace,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.10,44%,2.07,62%,1.31,66%,63%,0.7
Xavier Franklin,Record: 5-1-0 (1 NC),Mr. Benjamin,"5' 6""",135 lbs.,"66""",Southpaw,"Oct 15, 1996",3.07,33%,5.27,50%,0.00,0%,100%,0.0
Zoila Frausto,Record: 13-5-0,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,"Dec 10, 1983",0.77,31%,1.64,53%,0.00,0%,57%,0.0
Stephanie Frausto,Record: 8-7-0,Lil Bovy,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 20, 1990",1.43,21%,3.57,60%,0.00,0%,0%,0.0
Zane Frazier,Record: 4-11-0,Nasty,"6' 5""",250 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gary Frazier,Record: 3-3-0,,"6' 0""",245 lbs.,--,Orthodox,"Mar 31, 1988",1.50,39%,2.77,46%,0.00,0%,100%,0.0
Justin Frazier,Record: 10-3-0,The Grizzly Bear,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0.00,0%,0%,0.0
Ian Freeman,Record: 20-7-1,The Machine,"5' 11""",225 lbs.,--,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7
Jason Freeman,Record: 6-4-0 (1 NC),,"6' 2""",225 lbs.,--,,"Sep 02, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kennedy Freeman,Record: 6-0-0,The Machine 2.0,--,125 lbs.,--,,"Nov 26, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Denzel Freeman,Record: 7-2-0,Luke Fox,"6' 1""",265 lbs.,"77""",Southpaw,"Nov 10, 1991",2.45,56%,3.40,50%,0.00,0%,50%,0.0
Willamy Freire,Record: 26-6-0,Chiquerim,"5' 8""",155 lbs.,--,Orthodox,"Jul 28, 1987",1.53,37%,0.93,62%,0.50,100%,73%,0.0
Patricio Freire,Record: 37-8-0,Pitbull,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 07, 1987",2.68,43%,4.23,57%,1.49,33%,88%,0.6
Patricky Freire,Record: 17-8-0,Pitbull,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",3.06,44%,3.34,69%,1.26,33%,100%,0.0
Jeremy  Freitag,Record: 6-10-0,,"6' 1""",205 lbs.,--,,--,0.00,0%,8.37,19%,0.00,0%,33%,1.9
Rafael Freitas,Record: 3-6-0 (1 NC),Capoeira,--,205 lbs.,--,Orthodox,--,2.00,29%,8.00,51%,11.25,50%,0%,0.0
Donavon Frelow,Record: 6-3-0,,"5' 7""",135 lbs.,--,Orthodox,"Jan 20, 1985",2.40,27%,3.20,52%,1.00,100%,26%,0.0
Josh Fremd,Record: 11-6-0,,"6' 4""",185 lbs.,"76""",Orthodox,"Jan 15, 1994",2.52,44%,2.23,47%,0.66,25%,30%,1.1
Clay French,Record: 19-7-0,,"5' 7""",161 lbs.,--,Southpaw,"Oct 07, 1980",1.52,50%,1.27,16%,0.00,0%,100%,0.0
Mike French,Record: 9-10-0,,"5' 10""",145 lbs.,--,,"May 29, 1975",0.23,23%,2.17,42%,0.00,0%,22%,1.0
Matt Frevola,Record: 11-6-1,The SteamRolla,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.30,39%,3.76,56%,2.34,41%,40%,0.8
Jinh Yu Frey,Record: 11-10-0,,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",2.97,43%,4.23,52%,1.02,36%,90%,0.3
Artem Frolov,Record: 11-0-0,,"5' 10""",185 lbs.,--,,"Sep 07, 1991",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sarah Frota,Record: 9-2-0,A Treta,"5' 6""",125 lbs.,"69""",Southpaw,"Apr 14, 1987",4.52,52%,2.57,55%,0.00,0%,53%,0.0
Daniel Frunza,Record: 9-4-0,,"6' 1""",170 lbs.,"73""",Orthodox,"Apr 13, 1994",3.25,38%,4.32,50%,0.00,0%,50%,0.0
Don Frye,Record: 20-9-1 (1 NC),The Predator,"6' 1""",219 lbs.,--,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7
Allen Frye Jr.,Record: 6-1-0,,"6' 5""",265 lbs.,"80""",Orthodox,"Apr 15, 1998",2.20,38%,4.27,36%,0.00,0%,0%,0.0
Tony Fryklund,Record: 14-9-1,The Freak,"6' 0""",185 lbs.,--,Orthodox,"Mar 26, 1971",3.49,39%,6.50,43%,0.00,0%,66%,0.5
Adam Fugitt,Record: 10-6-0,,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.88,46%,5.33,51%,1.63,22%,50%,0.0
Jesse Fujarczyk,Record: 2-2-0,The Ronin,"6' 4""",225 lbs.,--,Southpaw,"Jan 28, 1983",1.03,33%,4.91,38%,0.00,0%,25%,0.0
Katsuhisa Fujii,Record: 9-18-1,Shamoji,"6' 0""",205 lbs.,--,Orthodox,"Aug 15, 1972",4.00,50%,4.43,64%,2.14,25%,50%,2.1
Megumi Fujii,Record: 26-3-0,Mega Megu,"5' 3""",113 lbs.,--,,"Apr 26, 1974",2.40,42%,0.00,100%,0.00,0%,0%,12.0
Kazuyuki Fujita,Record: 15-12-0,Ironhead,"6' 0""",235 lbs.,--,Orthodox,"Oct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6
Keisuke Fujiwara,Record: 17-12-5,,"5' 6""",139 lbs.,--,Switch,"Sep 17, 1982",0.73,44%,1.20,47%,0.00,0%,23%,2.5
Riki Fukuda,Record: 24-9-0 (1 NC),,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0
Masio Fullen,Record: 11-7-0,Lobo,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,32%,3.50,54%,0.47,33%,69%,0.0
Travis Fulton,Record: 253-53-10 (1 NC),The Ironman,"6' 0""",240 lbs.,--,Orthodox,"May 29, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sam Fulton,Record: 0-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Masakatsu Funaki,Record: 39-13-2,,"6' 0""",185 lbs.,--,Southpaw,"Mar 13, 1969",1.82,68%,2.92,35%,0.00,0%,0%,5.5
Ricardo Funch,Record: 9-6-0,Golden Boy,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0
Katsuaki Furuki,Record: 1-1-0,,"6' 0""",168 lbs.,--,,"Nov 10, 1980",0.27,10%,2.67,39%,0.00,0%,0%,3.0
James Gabert,Record: 6-4-0,,--,178 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gustavo Gabriel,Record: 13-1-0,,"5' 6""",125 lbs.,--,Orthodox,"Apr 01, 1994",4.06,65%,4.26,46%,0.00,0%,50%,0.0
Claudia Gadelha,Record: 18-5-0,Claudinha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7
Alavutdin Gadjiev,Record: 18-13-1,,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982",0.99,27%,0.99,57%,0.00,0%,50%,0.0
Magomed Gadzhiyasulov,Record: 9-1-0,,"6' 2""",205 lbs.,"75""",Orthodox,"Nov 04, 1993",2.89,49%,1.64,62%,3.67,73%,61%,0.0
Justin Gaethje,Record: 27-5-0,The Highlight,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.48,58%,7.05,51%,0.33,40%,74%,0.0
Sheila Gaff,Record: 9-7-0,The German Tank,"5' 5""",135 lbs.,--,Orthodox,"Dec 29, 1989",1.60,50%,2.89,28%,0.00,0%,20%,0.0
Muin Gafurov,Record: 20-7-0,Tajik,"5' 7""",135 lbs.,"68""",Orthodox,"May 17, 1996",3.36,47%,2.51,55%,1.57,28%,70%,0.0
Mitch Gagnon,Record: 12-5-0,,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9
Brandon Gaines,Record: 5-21-0,,"6' 3""",185 lbs.,--,,"Feb 24, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Travis Galbraith,Record: 18-7-0,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,"May 18, 1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3
Dave Galera,Record: 5-1-0,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,"Jan 12, 1978",1.67,69%,0.53,33%,0.00,0%,14%,2.0
Zelg Galesic,Record: 11-9-0,Benkei,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1979",4.86,62%,0.61,66%,1.30,100%,20%,1.3
Mickey Gall,Record: 7-7-0,,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",3.50,49%,4.72,49%,1.15,32%,37%,1.6
Daniel Gallemore,Record: 7-3-0,Big Kansas,"6' 5""",265 lbs.,--,,--,3.10,41%,6.00,52%,0.00,0%,0%,0.0
Tom Gallicchio,Record: 19-10-0,Da Tank,"5' 10""",170 lbs.,--,Southpaw,"Sep 23, 1986",3.53,26%,7.07,43%,1.00,11%,0%,0.0
Turrell Galloway,Record: 8-6-0,,"5' 3""",145 lbs.,--,,"Aug 11, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Galvan,Record: 0-0-0,,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andre Galvao,Record: 5-2-0,,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8
Marcos Galvao,Record: 18-8-1,Loro,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981",1.97,32%,3.86,61%,2.27,28%,88%,1.1
Lucas Gamaza,Record: 8-4-0,,--,170 lbs.,--,,--,7.57,31%,6.99,45%,0.00,0%,0%,0.0
Joey Gambino,Record: 9-2-0,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,"Oct 26, 1988",2.47,35%,2.53,51%,0.00,0%,42%,0.8
Manvel Gamburyan,Record: 15-10-0 (1 NC),The Anvil,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7
Mateusz Gamrot,Record: 25-4-0 (1 NC),Gamer,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",3.29,51%,2.96,59%,5.15,37%,83%,0.1
Shamil Gamzatov,Record: 14-1-0,,"6' 2""",205 lbs.,"76""",Orthodox,"Aug 09, 1990",5.35,48%,3.46,51%,0.00,0%,50%,0.0
Ryan Gandra,Record: 8-1-0,Problema,"6' 1""",185 lbs.,"74""",Orthodox,"May 08, 1995",11.23,51%,2.11,79%,0.00,0%,100%,0.0
Ariel Gandulla,Record: 7-9-0 (1 NC),,"5' 11""",205 lbs.,--,Orthodox,"May 07, 1968",1.95,23%,2.07,72%,1.88,66%,0%,0.0
Ciryl Gane,Record: 13-2-0 (1 NC),Bon Gamin,"6' 4""",247 lbs.,"81""",Orthodox,"Apr 12, 1990",5.29,61%,2.33,60%,0.68,25%,47%,0.6
Sean Gannon,Record: 2-1-0,The Cannon,"6' 3""",265 lbs.,--,Southpaw,--,0.00,0%,6.38,28%,0.00,0%,50%,0.0
Tommy Gantt,Record: 11-0-0 (1 NC),,"5' 11""",155 lbs.,"76""",Orthodox,"Jan 09, 1993",1.08,100%,0.36,66%,10.78,40%,0%,5.4
Junye Gao,Record: 19-12-0,,--,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eduardo Garagorri,Record: 13-2-0,,"5' 9""",145 lbs.,"70""",Orthodox,"May 28, 1989",3.42,51%,2.36,58%,0.48,100%,61%,0.0
Cody Garbrandt,Record: 14-7-0,No Love,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.88,39%,3.64,59%,0.93,27%,83%,0.0
Leonard Garcia,Record: 18-13-1,Bad Boy,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",2.77,24%,4.79,52%,0.30,26%,42%,0.5
Edgar Garcia,Record: 14-5-0,,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
Alejandro Garcia,Record: 14-10-0 (1 NC),Alex,"5' 7""",145 lbs.,--,,"Oct 20, 1980",1.22,62%,1.14,65%,8.55,87%,66%,0.0
Alex Garcia,Record: 15-6-0,The Dominican Nightmare,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1
Nick Garcia,Record: 8-3-0 (1 NC),Nitro,"5' 4""",125 lbs.,--,,--,0.67,25%,3.03,50%,0.00,0%,83%,5.1
Steve Garcia,Record: 19-5-0,Mean Machine,"6' 0""",145 lbs.,"75""",Southpaw,"May 22, 1992",5.39,49%,2.12,59%,0.86,40%,88%,0.4
Elias Garcia,Record: 6-2-0,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4
Rafa Garcia,Record: 18-4-0,Gifted,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",4.31,45%,4.54,61%,3.13,44%,76%,0.5
Fernie Garcia,Record: 10-5-0,,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 12, 1992",2.04,34%,3.79,48%,0.28,50%,50%,0.6
Rulon Gardner,Record: 1-0-0,,"6' 3""",265 lbs.,--,Orthodox,"Aug 16, 1971",2.05,25%,1.45,60%,0.75,100%,100%,0.0
David Gardner,Record: 18-21-0,,"5' 11""",155 lbs.,--,Orthodox,"May 17, 1977",0.17,100%,0.34,0%,0.00,0%,66%,0.0
Pablo Garza,Record: 12-4-0,The Scarecrow,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",3.37,44%,2.70,50%,0.94,25%,15%,1.3
Azamat Gashimov,Record: 8-3-0,,"5' 6""",125 lbs.,--,Orthodox,"Apr 07, 1990",1.24,21%,4.75,53%,1.69,25%,0%,0.0
Brian Gassaway,Record: 29-20-2 (1 NC),,"6' 1""",170 lbs.,--,Orthodox,"Aug 07, 1972",0.34,26%,3.65,44%,0.00,0%,42%,0.0
Kelvin Gastelum,Record: 21-10-0 (1 NC),,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.67,42%,3.53,57%,1.01,34%,60%,0.1
Willie Gates,Record: 12-7-0,,"5' 8""",125 lbs.,"72""",Orthodox,"Jan 21, 1987",1.80,38%,4.28,38%,0.00,0%,67%,0.4
Melissa Gatto,Record: 9-2-2,,"5' 5""",135 lbs.,"69""",Orthodox,"May 02, 1996",3.78,49%,2.84,54%,1.47,28%,63%,0.5
Sean Gauci,Record: 10-1-0,,"5' 5""",125 lbs.,"64""",Switch,"Oct 07, 1996",5.07,59%,5.80,68%,4.00,44%,100%,0.0
Louis Gaudinot,Record: 8-4-0 (1 NC),Goodnight,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",2.34,37%,6.42,48%,0.57,40%,31%,1.1
Ateba Gautier,Record: 10-1-0,The Storm,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",4.44,48%,2.93,52%,0.49,100%,92%,0.0
Manuel Gaxhja,Record: 7-0-0,,"5' 8""",155 lbs.,--,Switch,"Jul 23, 1997",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shamil Gaziev,Record: 14-2-0,,"6' 4""",265 lbs.,"78""",Orthodox,"Feb 10, 1990",2.62,47%,3.97,45%,0.93,30%,83%,0.3
Charlene Gellner,Record: 0-4-0,Princess,"5' 2""",125 lbs.,--,,--,2.01,42%,3.24,43%,0.00,0%,0%,1.7
Chad George,Record: 16-8-0,Savage,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",1.26,50%,1.11,65%,3.08,46%,0%,1.3
Paul Georgieff,Record: 6-2-0,,"6' 2""",170 lbs.,--,Orthodox,"Sep 22, 1982",2.55,40%,2.34,35%,0.00,0%,0%,0.0
Brian Geraghty,Record: 26-18-1,Duke,"5' 7""",155 lbs.,--,Orthodox,"Nov 04, 1980",0.47,25%,9.77,36%,0.00,0%,50%,0.0
Derek Getzel,Record: 8-5-0,The Pretzel,"6' 0""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
